source1_entity_id	matched_entity_ids
S1-00001	S2-00001,S2-00002,S2-00003,S3-00001,S3-00002
S1-00002	S2-00005,S2-00006,S2-00007,S3-00004,S3-00005
S1-00003	S2-00009,S3-00007,S3-00008,S3-00009
S1-00004	S2-00011,S2-00012,S2-00013,S3-00011,S3-00012,S3-00013
S1-00005	S2-00015,S3-00015,S3-00016
S1-00006	S2-00017,S2-00018,S3-00018,S3-00019
S1-00007	S2-00020,S2-00021,S3-00021
S1-00008	S2-00023,S3-00023
S1-00009	S2-00025,S3-00025,S3-00026,S3-00027
S1-00010	S2-00027,S2-00028,S3-00029,S3-00030,S3-00031
S1-00011	
S1-00012	
